Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
01/01/20,"1,528",0,0,0,"1,440",0,0,0,0
02/01/20,"1,528",0,0,0,"1,440",0,0,0,0
03/01/20,"1,528",0,0,0,"1,440",0,0,0,0
04/01/20,"1,528",0,0,0,"1,440",0,0,0,0
05/01/20,"1,528",0,0,0,"1,440",0,0,0,0
06/01/20,"1,528",0,0,0,"1,440",0,0,0,0
07/01/20,"1,528",0,0,0,"1,440",0,0,0,0
08/01/20,"1,528",0,0,0,"1,440",0,0,0,0
09/01/20,"1,528",0,0,0,"1,440",0,0,0,0
10/01/20,"1,528",0,0,0,"1,440",0,0,0,0
11/01/20,"1,528",0,0,0,"1,440",0,0,0,0
12/01/20,"1,528",0,0,0,"1,440",0,0,0,0
13/01/20,"1,528",0,0,0,"1,440",0,0,0,0
14/01/20,"1,528",0,0,0,"1,440",0,0,0,0
15/01/20,"1,528",0,0,0,"1,440",0,0,0,0
16/01/20,"1,528",0,0,0,"1,440",0,0,0,0
17/01/20,"1,528",0,0,0,"1,440",0,0,0,0
18/01/20,"2,018","5,719",3.95,0,"1,241",181,14,4,701
19/01/20,"2,222","8,473",5.89,0,774,225,11,26,971
20/01/20,"2,065","6,708",4.67,0,850,167,23,11,750
21/01/20,"1,961","5,499",3.82,0,806,149,5,5,601
22/01/20,"1,941","4,877",3.39,0,887,162,0,0,585
23/01/20,"2,035","6,119",4.22,0,820,186,3,4,711
24/01/20,"2,272","9,538",6.63,0,903,246,15,5,"1,026"
25/01/20,"1,675","1,180",0.82,0,839,74,0,0,225
26/01/20,"2,485","12,141",8.52,0,758,316,11,17,"1,322"
27/01/20,"2,102","7,415",5.16,0,814,183,15,10,795
28/01/20,"2,559","14,128",9.83,0,812,246,36,46,"1,379"
29/01/20,"1,880","4,638",3.19,0,788,110,6,5,480
30/01/20,"2,064","6,767",4.7,0,810,169,19,7,742
31/01/20,"1,788","2,732",1.9,0,"1,122",116,0,0,383
01/02/20,"1,705","1,999",1.39,0,939,73,0,0,254
02/02/20,"2,322","9,624",6.69,0,738,272,25,12,"1,121"
03/02/20,"2,154","8,086",5.62,0,747,198,15,10,862
04/02/20,"1,935","4,957",3.44,0,824,146,4,4,570
05/02/20,"1,995","6,238",4.32,0,820,154,5,0,636
06/02/20,"1,980","5,784",4,0,895,145,6,11,623
07/02/20,"2,295","10,300",7.16,0,775,183,33,36,"1,035"
08/02/20,"2,144","7,846",5.5,0,858,179,8,26,842
09/02/20,"1,864","3,597",2.5,0,821,139,8,0,492
10/02/20,"2,166","8,417",5.85,0,844,190,17,11,869
11/02/20,"1,959","5,482",3.81,0,916,143,5,10,598
12/02/20,"2,205","9,096",6.32,0,786,212,19,9,930
13/02/20,"2,755","16,459",11.44,0,740,305,46,46,"1,648"
14/02/20,"2,896","19,163",13.43,0,495,342,70,21,"1,827"
15/02/20,"2,433","11,005",7.67,0,754,317,22,10,"1,275"
16/02/20,"1,938","3,908",2.72,0,734,191,0,0,612
17/02/20,"2,229","9,037",6.29,0,780,197,30,25,966
18/02/20,"2,437","11,677",8.24,0,759,295,16,14,"1,253"
19/02/20,"2,330","9,962",6.92,0,"1,133",281,16,10,"1,128"
20/02/20,"2,384","10,723",7.46,0,971,311,16,0,"1,203"
21/02/20,"2,375","10,849",7.55,0,612,288,22,4,"1,180"
22/02/20,"1,784","2,633",1.88,0,825,102,5,3,372
23/02/20,"1,937","4,200",2.92,0,764,185,0,0,605
24/02/20,"2,572","13,822",9.61,0,830,316,25,15,"1,422"
25/02/20,"2,445","12,152",8.45,0,682,257,37,26,"1,257"
26/02/20,"2,371","11,322",7.87,0,920,217,32,31,"1,140"
27/02/20,"2,597","13,894",9.65,0,739,315,36,30,"1,472"
28/02/20,"2,969","20,708",14.39,0,697,292,37,91,"1,887"
29/02/20,"2,364","10,002",7,0,698,296,9,14,"1,174"
01/03/20,"2,764","16,048",11.16,0,613,337,54,42,"1,696"
02/03/20,"2,704","16,344",11.37,0,635,284,33,51,"1,566"
03/03/20,"2,755","16,313",11.31,0,659,343,41,32,"1,667"
04/03/20,"2,688","16,671",11.59,0,633,250,43,47,"1,518"
05/03/20,"2,376","10,479",7.29,0,739,289,6,23,"1,185"
06/03/20,"2,777","16,786",11.67,0,806,393,20,18,"1,707"
07/03/20,"2,827","18,137",12.61,0,578,273,26,87,"1,709"
08/03/20,"2,729","16,350",11.36,0,682,278,58,51,"1,611"
09/03/20,"3,224","24,949",17.32,0,519,315,41,104,"2,183"
10/03/20,"2,369","10,377",7.22,0,629,287,18,12,"1,176"
11/03/20,"2,612","13,814",9.59,0,624,376,4,11,"1,495"
12/03/20,"2,532","14,116",9.82,0,629,191,2,86,"1,300"
13/03/20,"2,128","7,561",5.24,0,875,198,19,8,838
14/03/20,"2,155","7,414",5.16,0,654,209,13,19,883
15/03/20,"2,304","8,925",6.31,0,857,284,6,13,"1,094"
16/03/20,"2,191","7,389",5.14,0,723,274,9,0,961
17/03/20,"2,403","10,609",7.44,0,751,297,30,10,"1,231"
18/03/20,"2,235","7,958",5.54,0,864,264,30,2,"1,010"
19/03/20,"2,007","5,205",3.62,0,794,199,8,1,699
20/03/20,"2,159","6,908",4.89,0,796,242,17,6,912
21/03/20,"2,415","11,008",7.66,0,715,280,57,6,"1,251"
22/03/20,"2,161","7,086",4.93,0,848,237,22,6,914
23/03/20,"2,247","8,355",5.81,0,682,265,13,9,"1,019"
24/03/20,"2,093","6,034",4.2,0,828,250,0,0,827
25/03/20,"1,962","4,618",3.12,0,772,179,10,0,629
26/03/20,"1,921","4,487",3.04,0,838,137,22,4,561
27/03/20,"2,157","7,471",5.2,0,866,221,30,1,896
28/03/20,"2,040","6,260",4.35,0,"1,237",168,33,2,727
29/03/20,"2,306","8,756",6.09,0,755,317,20,0,"1,135"
30/03/20,"2,274","8,603",5.98,0,965,283,20,5,"1,072"
31/03/20,"2,076","6,376",4.44,0,838,193,31,2,788
01/04/20,"2,136","7,058",4.91,0,818,209,36,2,869
02/04/20,"2,359","10,119",7.04,0,853,272,52,2,"1,177"
03/04/20,"2,203","7,685",5.45,0,832,222,47,7,968
04/04/20,"2,276","9,743",6.75,0,718,196,54,16,"1,030"
05/04/20,"2,338","10,476",7.29,0,785,207,69,15,"1,119"
06/04/20,"2,266","8,729",6.07,0,737,252,33,10,"1,051"
07/04/20,"2,369","10,734",7.52,0,754,243,41,19,"1,162"